Q. NO,Instruction,Question,Options,Answer,Explanation,Complexity,Complexity Tag,Exclusive Tag
Q011,Fill in the blank with the most suitable word.,The speakerÃ¢Â€Â™s argument was so ______ that even her critics acknowledged its force.,"scattered
compelling
hesitant
ordinary",compelling,"""Compelling"" fits because it describes an argument that is powerful and convincing.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q012,Choose the correct sentence.,Which sentence expresses the idea most clearly and correctly?,"Had I knew about the delay, I would have informed the clients earlier.
Had I known about the delay, I would have informed the clients earlier.
Had I known about the delay, I would inform the clients earlier.
Had I know about the delay, I would have informed the clients earlier.","Had I known about the delay, I would have informed the clients earlier.",This sentence uses the correct form to describe an unreal past situation.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q013,Choose the correct meaning.,"What does the word <b>concise</b> mean in this sentence: ""Her report was concise but highly informative""?","too emotional
brief and clear
poorly organised
difficult to understand",brief and clear,"""Concise"" means giving a lot of information in a short and clear way.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q014,Choose the correct sentence.,Which sentence is written in the best form?,"The manager, along with the senior analysts, are attending the conference.
The manager, along with the senior analysts, is attending the conference.
The manager, along with the senior analysts, were attending the conference.
The manager, along with senior analysts, are attending the conference.","The manager, along with the senior analysts, is attending the conference.","The main subject is ""manager"", so the verb should be singular.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q015,Choose the best option to complete the sentence.,"If the research team had reviewed the data more carefully, they ______ the error before publication.","would detect
would have detected
will detect
detected",would have detected,"The sentence talks about a past possibility that did not happen, so ""would have detected"" is correct.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q016,Read the sentence and answer the question.,"""Although the candidate spoke confidently, several of her answers lacked depth."" What can be understood from this sentence?","She was fully prepared for every question.
Her speaking style was strong, but her content was not always strong enough.
She refused to answer difficult questions.
The interviewers were impressed by every response she gave.","Her speaking style was strong, but her content was not always strong enough.",The sentence shows a contrast between confidence and the quality of the answers.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q017,Choose the correct antonym.,"Select the word opposite in meaning to ""scarce"".","rare
limited
abundant
uncertain",abundant,"""Scarce"" means not enough, while ""abundant"" means more than enough.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q018,Rearrange the parts to form a meaningful sentence.,"(1) despite repeated warnings 
(2) continued to ignore 
(3) the safety instructions 
(4) the workers","4-2-3-1
4-3-2-1
2-4-1-3
3-4-2-1",4-2-3-1,"The correct sentence is: ""The workers continued to ignore the safety instructions despite repeated warnings.""",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q019,Choose the correct sentence.,Which sentence is grammatically correct and clear in meaning?,"No sooner the bell rang than the students rushed out of the hall.
No sooner had the bell rung when the students rushed out of the hall.
No sooner had the bell rung than the students rushed out of the hall.
No sooner did the bell ring when the students rushed out of the hall.",No sooner had the bell rung than the students rushed out of the hall.,This is the correct way to show that one action happened immediately after another.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q020,Choose the correct sentence.,,"Hardly had the lecture begun when the fire alarm went off.
Hardly the lecture had begun when the fire alarm went off.
Hardly had the lecture begun than the fire alarm went off.
Hardly the lecture began when the fire alarm went off.",Hardly had the lecture begun when the fire alarm went off.,This sentence correctly shows that the second event happened almost immediately after the first.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q021,Choose the best word to complete the sentence.,The committee rejected the proposal because it was too ______ and failed to address the core issue.,"relevant
precise
vague
balanced",vague,"""Vague"" fits because the sentence says the proposal failed to deal with the main issue clearly.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q022,Choose the correct sentence.,Which sentence expresses the idea most clearly and correctly?,"Not only did the professor explain the theory clearly but also gave practical examples.
Not only did the professor explain the theory clearly but he also gave practical examples.
Not only the professor explained the theory clearly but he also gave practical examples.
Not only did the professor explained the theory clearly but he also gave practical examples.",Not only did the professor explain the theory clearly but he also gave practical examples.,This sentence is correct because both parts are complete and balanced in form and meaning.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q023,Read the sentence and answer the question.,"""The researcher acknowledged the limitations of the study, yet remained confident that the findings were valuable."" What does this sentence suggest?","The researcher believed the study was completely flawless.
The researcher accepted the weaknesses of the study but still trusted its importance.
The researcher planned to withdraw the study immediately.
The researcher was uncertain about every result.",The researcher accepted the weaknesses of the study but still trusted its importance.,"The word ""yet"" shows contrast, so the sentence means the study had limits but was still useful.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q024,Fill in the blank with the most suitable option.,"By the time the guests arrived, the host ______ all the arrangements for the event.","completes
had completed
has completed
was completing",had completed,"""Had completed"" is correct because it shows the arrangements were finished before the guests arrived.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q025,Read the passage and answer the question.,"Passage: A university in Hyderabad introduced a skill-based assessment system where students were evaluated not only through written exams but also through presentations, group discussions, and real-world problem-solving tasks. Faculty members noticed that students who were usually quiet in traditional exams performed better in these interactive formats. Over time, the university observed an increase in student engagement and participation across departments. Although some students initially found the system unfamiliar, most adapted quickly and appreciated the opportunity to demonstrate their abilities in different ways.<br><br>Question: According to the passage, why did some students perform better in the new system?","They were given easier questions in exams.
They could show their abilities through different types of activities.
They were allowed to skip written exams completely.
They received extra marks for participation.",They could show their abilities through different types of activities.,"The passage states that students performed better because they could demonstrate their skills through presentations and discussions, not just written exams.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q026,Read the passage and answer the question.,"Passage: A startup company introduced a policy that encouraged employees to spend two hours each week learning a new skill related to their field. Some employees chose technical skills, while others focused on communication or leadership. After six months, the company found that teams were collaborating more effectively, and employees were more confident in handling new challenges. Managers also reported that employees were more willing to take initiative during projects.<br><br>Question: What change was observed after six months?","Managers reduced their working hours.
Employees became more confident and collaborative.
Employees stopped focusing on technical skills.
Managers reduced team responsibilities.",Employees became more confident and collaborative.,The passage clearly mentions improved confidence and better teamwork after six months.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q027,Read the passage and answer the question.,"Passage: A college library extended its working hours during exam season to help students who preferred studying late at night. As a result, the number of students visiting the library increased significantly. Many students reported that the quiet environment helped them concentrate better than studying at home. However, the library also had to arrange additional staff to manage the extended hours and ensure safety.<br><br>Question: Why did more students start using the library?",The library introduced new books.The library became free for all students.The extended hours allowed students to study at convenient times.The college made library attendance compulsory.,The extended hours allowed students to study at convenient times.,"The passage explains that students benefited from extended hours, especially those who preferred late-night study.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q028,Read the passage and answer the question.,"Passage: During a campus recruitment drive, a company introduced a new evaluation round where candidates were asked to solve real-world business problems in teams. Instead of focusing only on individual performance, the company assessed how candidates communicated, shared ideas, and handled disagreements. Many candidates found this round challenging, but it helped the company identify those who could work effectively in team environments.<br><br>Question: What was the purpose of the new evaluation round?",To reduce the number of candidates quickly.To test only technical knowledge.To assess teamwork and communication skills.To replace all other rounds in the process.,To assess teamwork and communication skills.,The passage clearly states that the company wanted to evaluate how candidates worked in teams and communicated.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q029,Read the passage and answer the question.,"Passage: A professor encouraged students to submit drafts of their assignments before the final deadline. This allowed students to receive feedback and improve their work. Students who submitted drafts often produced higher-quality final submissions compared to those who did not. Although this approach required extra effort from both students and the professor, it created a more supportive learning environment.<br><br>Question: What benefit did students get from submitting drafts?",They received extra marks automatically.They avoided writing the final assignment.They could improve their work based on feedback.They were given more time after the deadline.,They could improve their work based on feedback.,The passage clearly states that feedback on drafts helped students produce better final work.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q030,Choose the correct sentence.,Which sentence is written correctly?,"One of the lecturers have published a research paper this month.
One of the lecturers has published a research paper this month.
One of the lecturer has published a research paper this month.
One of lecturers has published a research paper this month.",One of the lecturers has published a research paper this month.,"The subject is ""one"", so the verb should be singular.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q031,Fill in the blank with the most suitable option.,"If the students had revised the material more carefully, they ______ fewer mistakes in the test.","would make
would have made
will have made
made",would have made,"The sentence talks about an unreal situation in the past, so ""would have made"" is the correct form.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q032,Choose the correct sentence.,Which sentence expresses the idea clearly and correctly?,"The report that the intern submitted yesterday were appreciated by the panel.
The report that the intern submitted yesterday was appreciated by the panel.
The report that the intern submitted yesterday have been appreciated by the panel.
The report that the intern submitted yesterday appreciate the panel.",The report that the intern submitted yesterday was appreciated by the panel.,"The main subject is ""report"", which is singular, so ""was"" is correct.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q033,Choose the correct sentence.,Which sentence is correct?,"Scarcely had the seminar begun when the projector stopped working.
Scarcely the seminar had begun when the projector stopped working.
Scarcely had the seminar begun than the projector stopped working.
Scarcely the seminar began when the projector stopped working.",Scarcely had the seminar begun when the projector stopped working.,This is the correct way to show that one event happened almost immediately after another.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q034,Choose the best option to complete the sentence.,The suggestions given by the faculty member ______ practical and easy to follow.,"was
is
were
has been",were,"The subject ""suggestions"" is plural, so the verb should also be plural.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q035,Choose the correct sentence.,Which sentence is written correctly?,"The company aims not only to improve sales but also customer trust.
The company aims not only to improve sales but also to build customer trust.
The company aims not only improving sales but also to build customer trust.
The company aims not only to improve sales but also building customer trust.",The company aims not only to improve sales but also to build customer trust.,"Both parts follow the same pattern, which makes the sentence clear and balanced.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q036,Choose the correct sentence.,Which sentence is grammatically correct?,"There is many reasons why the project failed.
There are many reasons why the project failed.
There was many reasons why the project failed.
There have many reasons why the project failed.",There are many reasons why the project failed.,"The noun ""reasons"" is plural, so ""are"" is correct.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q037,Choose the correct sentence.,Which sentence is clear and correct in meaning?,"Having completed the survey, the results were analysed by the team.
Having completed the survey, the team analysed the results.
Having completed the survey, the results seemed useful to the team.
Having completed the survey, there was an analysis of the results.","Having completed the survey, the team analysed the results.",This sentence clearly shows who completed the survey and who analysed the results.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q038,Fill in the blank with the correct option.,Neither the dean nor the department heads ______ willing to postpone the meeting.,"was
is
were
has been",were,"The verb matches the plural subject closest to it, which is ""department heads"".",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q039,Choose the correct sentence.,Which sentence is written correctly?,"The student who won the scholarship deserve the recognition.
The student who won the scholarship deserves the recognition.
The student who won the scholarship deserving the recognition.
The student who won the scholarship deserve recognition the.",The student who won the scholarship deserves the recognition.,"The subject is singular, so the verb should be ""deserves"".",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q040,Choose the best option to complete the sentence.,No sooner ______ the announcement made than the audience began to react.,"was
had
has
did",had,"""No sooner had..."" is the correct structure in this kind of sentence.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q041,Choose the correct sentence.,Which sentence is correct?,"She explained the procedure clearly, briefly, and in a way that was easy to follow.
She explained the procedure clearly, brief, and in an easy way to follow.
She explained the procedure clearly, brief, and easy to follow.
She explained clearly the procedure, brief, and in a way easy to follow.","She explained the procedure clearly, briefly, and in a way that was easy to follow.","The sentence is smooth and consistent, so the meaning is clear throughout.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q042,Choose the correct sentence.,Which sentence is grammatically correct and complete?,"Because the weather was severe, the match was postponed.
Because the weather was severe.
The match was postponed because the weather severe.
Because was severe, the match was postponed.","Because the weather was severe, the match was postponed.",This sentence is complete and clearly connects the reason with the result.,Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q043,Which sentence expresses the idea most accurately?,,"It was the research scholar who the committee praised for the originality of the work.
It was the research scholar whom the committee praised for the originality of the work.
It was the research scholar which the committee praised for the originality of the work.
It was the research scholar whose the committee praised for the originality of the work.",It was the research scholar whom the committee praised for the originality of the work.,The sentence needs the correct word for the person receiving the committeeÃ¢Â€Â™s praise.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q044,Choose the correct sentence.,Which sentence is written correctly?,Every one of the participants were asked to sign the form.Every one of the participants was asked to sign the form.Every one of the participant were asked to sign the form.Every one of participants was asked to sign the form.,Every one of the participants was asked to sign the form.,"The main subject is singular, so the verb should also be singular.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q045,Fill in the blank with the most suitable option.,"Had the team reviewed the report more carefully, they ______ the missing data before submission.",noticewould noticewould have noticednoticed,would have noticed,"The sentence refers to a past situation that did not happen, so ""would have noticed"" is correct.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q046,Choose the correct sentence.,Which sentence expresses the idea clearly and correctly?,The students as well as their mentor was invited to the conference.The students as well as their mentor were invited to the conference.The students as well as their mentor have invited to the conference.The students as well as their mentor is invited to the conference.,The students as well as their mentor were invited to the conference.,The sentence is correctly written and keeps the meaning clear.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q047,Choose the best option to complete the sentence.,Not until the final presentation ______ how much effort the team had invested in the project.,did the judges realisethe judges did realisehad the judges realisedthe judges had realised,did the judges realise,"This form is correct after ""not until"" and shows the meaning clearly.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q048,Choose the correct sentence.,Which sentence is grammatically correct and complete?,"While the manager explained the new policy, the employees listened carefully.While the manager explained the new policy.While explained the new policy, the employees listened carefully.The employees listened carefully while the manager explaining the new policy.","While the manager explained the new policy, the employees listened carefully.",This is a complete sentence with both parts connected clearly.,Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q049,Choose the correct sentence.,Which sentence is written correctly?,"The candidate, along with her certificates, were waiting outside the interview room.The candidate, along with her certificates, was waiting outside the interview room.The candidate, along with her certificates, have been waiting outside the interview room.The candidate, along with certificates, were waiting outside the interview room.","The candidate, along with her certificates, was waiting outside the interview room.","The main subject is ""candidate"", so the singular verb is needed.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q050,Choose the correct sentence.,Which sentence shows the best sentence structure?,Rarely we see such dedication in students preparing for campus placements.Rarely do we see such dedication in students preparing for campus placements.Rarely did we sees such dedication in students preparing for campus placements.Rarely we do see such dedication in students preparing for campus placements.,Rarely do we see such dedication in students preparing for campus placements.,This sentence is the clearest and uses the correct word order.,Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q051,Choose the correct synonym.,"Select the word closest in meaning to ""resilient"".",fragileflexiblestrongadaptive,adaptive,"""Resilient"" means able to recover or adjust quickly, so ""adaptive"" is the closest in meaning.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q052,Choose the correct antonym.,"Select the word opposite in meaning to ""justify"".",explaindefendcriticisesupport,criticise,"""Justify"" means to defend or give reasons for something, so ""criticise"" is the opposite.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q053,Choose the correct word usage.,The manager gave a ______ response to the concerns raised by the team.,promptpromptlypromptnessprompting,prompt,"The sentence needs an adjective to describe ""response"", so ""prompt"" is correct.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q054,Choose the correct meaning in context.,"In the sentence ""Her approach to the problem was pragmatic"", what does ""pragmatic"" mean?",theoreticalpracticalemotionaluncertain,practical,"""Pragmatic"" means dealing with things in a practical and realistic way.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q055,Choose the best word to complete the sentence.,His explanation was so ______ that even complex ideas became easy to understand.,confusingclearlengthyuncertain,clear,"""Clear"" fits because it shows the explanation made ideas easy to understand.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q056,Choose the correct sentence.,Which sentence is grammatically correct?,The data collected from the survey were analysed carefully.The data collected from the survey was analysed carefully.The data collected from the survey have analysed carefully.The data collected from survey were analysed carefully.,The data collected from the survey were analysed carefully.,"""Data"" is treated as plural in formal usage, so ""were analysed"" is correct.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q057,Fill in the blank with the most suitable option.,"The candidate spoke confidently, ______ he was not fully prepared for all the questions.",becausealthoughunlesstherefore,although,"""Although"" shows contrast between confidence and lack of preparation.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q058,Identify the part with an error.,Each of the participants were given a certificate at the end of the workshop.,Each of the participantswere givena certificateat the end of the workshop,were given,"""Each"" is singular, so it should be ""was given"".",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q059,Rearrange the parts to form a meaningful sentence.,Choose the correct order: (1) the final report (2) submitted (3) the team (4) after careful review,3-2-1-43-2-4-12-3-1-43-4-2-1,3-2-1-4,"The correct sentence is: ""The team submitted the final report after careful review.""",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q060,Choose the best option to complete the sentence.,The proposal was rejected ______ it failed to address the key concerns of the committee.,becausealthoughhoweverunless,because,"""Because"" correctly shows the reason for rejection.",Easy,DIFFICULTY_EASY,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q061,Choose the correct synonym.,"Select the word closest in meaning to ""ambiguous"".",clearuncertaindirectsimple,uncertain,"""Ambiguous"" means something that is unclear or open to more than one meaning.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q062,Choose the correct antonym.,"Select the word opposite in meaning to ""conventional"".",traditionalusualinnovativecommon,innovative,"""Conventional"" refers to something usual or traditional, so ""innovative"" is the opposite.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q063,Choose the correct word usage.,"The report provided a ______ analysis of the issue, covering multiple perspectives.",depthdeeplydeepdeepen,deep,"The sentence needs an adjective to describe ""analysis"", so ""deep"" is correct.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q064,Choose the best word to complete the sentence.,Her argument was so ______ that it changed the panelÃ¢Â€Â™s opinion.,weakpersuasiveunclearcasual,persuasive,"""Persuasive"" fits because it explains why the panelÃ¢Â€Â™s opinion changed.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VOCABULARY
Q065,Choose the correct sentence.,Which sentence is grammatically correct?,A number of students has participated in the event.A number of students have participated in the event.A number of students has participated the event.A number of students have participated the event.,A number of students have participated in the event.,"""A number of students"" is treated as plural, so ""have"" is correct.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_GRAMMAR
Q066,Fill in the blank with the most suitable option.,"The results were unexpected, ______ the team had followed all the correct procedures.",becausealthoughunlesstherefore,although,"""Although"" shows contrast between correct procedures and unexpected results.",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q067,Identify the part with an error.,The quality of the products produced by the company have improved significantly over the years.,The quality of the productsproduced by the companyhave improvedsignificantly over the years,have improved,"The subject is ""quality"", which is singular, so it should be ""has improved"".",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q068,Choose the correct sentence improvement.,"Select the best replacement for the underlined part: ""The manager asked the team to quickly complete the task and submit it before the deadline.""",to complete the task quickly and submit it before the deadlineto complete quickly the task and submit it before the deadlineto complete the task and submit it quickly before the deadlineto quickly complete the task and submit before the deadline it,to complete the task quickly and submit it before the deadline,"This option places ""quickly"" naturally and keeps the sentence clear and smooth.",Hard,DIFFICULTY_HARD,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q069,Rearrange the parts to form a meaningful sentence.,Choose the correct order: (1) after several revisions (2) the final draft (3) the author (4) completed,3-4-2-13-2-4-12-3-4-13-4-1-2,3-4-2-1,"The correct sentence is: ""The author completed the final draft after several revisions.""",Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
Q070,Read the statements and choose the correct option.,"Assertion: Clear communication reduces misunderstandings in professional settings.<br>Reason: When ideas are expressed clearly, it becomes easier for others to interpret them correctly.","Both Assertion and Reason are true, and the Reason correctly explains the Assertion.Both Assertion and Reason are true, but the Reason does not explain the Assertion.Assertion is true, but Reason is false.Assertion is false, but Reason is true.","Both Assertion and Reason are true, and the Reason correctly explains the Assertion.",The reason directly explains how clear communication reduces misunderstandings.,Medium,DIFFICULTY_MEDIUM,MODULE_ACCURACY_IN_SENTENCE_STRUCTURE_MODULE_VERBAL_ABILITY
